,index,precinct,biden,trump,jorgensen,blankenship,hawkins,delafuente,total
0,1,Charter Township of Brownstown Precinct 1,0,0,0,0,0,0,0
1,2,Charter Township of Brownstown Precinct 2,0,0,0,0,0,0,0
2,3,Charter Township of Brownstown Precinct 3,0,0,0,0,0,0,0
3,4,Charter Township of Brownstown Precinct 4,0,0,0,0,0,0,0
4,5,Charter Township of Brownstown Precinct 5,0,0,0,0,0,0,0
5,6,Charter Township of Brownstown Precinct 6,0,0,0,0,0,0,0
6,7,Charter Township of Brownstown Precinct 7,0,0,0,0,0,0,0
7,8,Charter Township of Brownstown Precinct 8,0,0,0,0,0,0,0
8,9,Charter Township of Brownstown Precinct 9,0,0,0,0,0,0,0
9,10,Charter Township of Brownstown Precinct 10,0,0,0,0,0,0,0
10,11,Charter Township of Brownstown Precinct 11,0,0,0,0,0,0,0
11,12,Charter Township of Brownstown Precinct 12,0,0,0,0,0,0,0
12,13,Charter Township of Canton Precinct 1,0,0,0,0,0,0,0
13,14,Charter Township of Canton Precinct 2,0,0,0,0,0,0,0
14,15,Charter Township of Canton Precinct 3,0,0,0,0,0,0,0
15,16,Charter Township of Canton Precinct 4,0,0,0,0,0,0,0
16,17,Charter Township of Canton Precinct 5,0,0,0,0,0,0,0
17,18,Charter Township of Canton Precinct 6,0,0,0,0,0,0,0
18,19,Charter Township of Canton Precinct 7,0,0,0,0,0,0,0
19,20,Charter Township of Canton Precinct 8,0,0,0,0,0,0,0
20,21,Charter Township of Canton Precinct 9,0,0,0,0,0,0,0
21,22,Charter Township of Canton Precinct 10,0,0,0,0,0,0,0
22,23,Charter Township of Canton Precinct 11,0,0,0,0,0,0,0
23,24,Charter Township of Canton Precinct 12,0,0,0,0,0,0,0
24,25,Charter Township of Canton Precinct 13,0,0,0,0,0,0,0
25,26,Charter Township of Canton Precinct 14,0,0,0,0,0,0,0
26,27,Charter Township of Canton Precinct 15,0,0,0,0,0,0,0
27,28,Charter Township of Canton Precinct 16,0,0,0,0,0,0,0
28,29,Charter Township of Canton Precinct 17,0,0,0,0,0,0,0
29,30,Charter Township of Canton Precinct 18,0,0,0,0,0,0,0
30,31,Charter Township of Canton Precinct 19,0,0,0,0,0,0,0
31,32,Charter Township of Canton Precinct 20,0,0,0,0,0,0,0
32,33,Charter Township of Canton Precinct 21,0,0,0,0,0,0,0
33,34,Charter Township of Canton Precinct 22,0,0,0,0,0,0,0
34,35,Charter Township of Canton Precinct 23,0,0,0,0,0,0,0
35,36,Charter Township of Canton Precinct 24,0,0,0,0,0,0,0
36,37,Charter Township of Canton Precinct 25,0,0,0,0,0,0,0
37,38,Charter Township of Canton Precinct 26,0,0,0,0,0,0,0
38,39,Charter Township of Canton Precinct 27,0,0,0,0,0,0,0
39,40,Charter Township of Canton Precinct 28,0,0,0,0,0,0,0
